radius,normalised_radius,mean_power,median_power,pixel_count
511,0.702889,1309929.625,698402.375,2330
512,0.704264,1356852.625,793175.8125,2354
513,0.70564,1368374.0,821001.5,2304
514,0.707015,1353253.125,864375.125,2322
515,0.708391,1345324.5,835115.75,2278
516,0.709766,1283959.75,722611.25,2332
517,0.711142,1365043.625,757372.375,2302
518,0.712517,1267741.875,692689.875,2278
519,0.713893,1249880.625,691383.75,2310
520,0.715268,1305989.25,742315.0625,2270
521,0.716644,1320173.25,725736.5,2324
522,0.718019,1211791.5,694393.875,2254
523,0.719395,1120097.375,665134.0,2306
524,0.72077,1158971.25,649115.4375,2266
525,0.722146,1260141.375,680176.75,2278
526,0.723521,1274413.25,738558.5625,2266
527,0.724897,1153008.25,632085.875,2246
528,0.726272,1163486.375,632310.875,2292
529,0.727648,1257057.625,631887.125,2246
530,0.729023,1316691.5,612858.375,2258
531,0.730399,1182071.0,626130.9375,2302
532,0.731774,1242676.75,746365.5625,2190
533,0.73315,1299026.125,716842.8125,2306
534,0.734525,1274351.125,681941.6875,2222
535,0.735901,1188139.375,703730.1875,2234
536,0.737276,1120518.25,659969.375,2286
537,0.738652,1258522.125,660937.5625,2170
538,0.740028,1146794.5,621545.0625,2310
539,0.741403,1094036.875,590985.875,2190
540,0.742779,1044232.4375,598031.5,2242
541,0.744154,1182846.5,589522.375,2210
542,0.74553,1098529.125,552526.8125,2214
543,0.746905,1084809.25,630125.5,2268
544,0.748281,1081283.75,583377.1875,2182
545,0.749656,1079613.5,571054.8125,2250
546,0.751032,1084082.25,578971.0625,2238
547,0.752407,995468.1875,513355.8125,2158
548,0.753783,889565.125,485332.21875,2270
549,0.755158,852873.5625,486448.0,2166
550,0.756534,886058.5,533410.8125,2242
551,0.757909,876504.5625,504917.8125,2206
552,0.759285,863588.5,479104.125,2168
553,0.76066,881424.5625,506373.84375,2242
554,0.762036,956855.0,524753.1875,2138
555,0.763411,908178.5,525842.5625,2266
556,0.764787,834301.4375,545476.1875,2170
557,0.766162,816159.5625,476975.75,2196
558,0.767538,867600.4375,457975.84375,2178
559,0.768913,869588.5625,423446.5,2150
560,0.770289,785375.875,389383.09375,2187
561,0.771664,728001.6875,387832.25,1984
562,0.77304,649106.625,382427.0625,1980
563,0.774415,636808.375,361286.90625,1950
564,0.775791,636454.125,371863.90625,1866
565,0.777166,583696.5625,348242.90625,1884
566,0.778542,580082.125,376153.40625,1806
567,0.779917,586986.375,348993.9375,1812
568,0.781293,547414.0625,328379.65625,1788
569,0.782669,509131.65625,317309.8125,1768
570,0.784044,504308.5,301903.625,1716
571,0.78542,517961.6875,312027.125,1690
572,0.786795,532486.5625,304127.53125,1694
573,0.788171,512307.5,309161.25,1666
574,0.789546,475744.8125,262233.75,1634
575,0.790922,490813.46875,298458.4375,1616
576,0.792297,450988.78125,291885.1875,1604
577,0.793673,409001.125,259672.28125,1600
578,0.795048,386840.5625,246953.5,1556
579,0.796424,387790.15625,246614.46875,1572
580,0.797799,413913.46875,256826.09375,1536
581,0.799175,362044.125,234472.25,1520
582,0.80055,333403.59375,228187.03125,1490
583,0.801926,345361.71875,222138.375,1446
